country,name,extra_info,duration,duration_int,validity,price,age_max,application,embassy,fr_diplomacy
Argentine,Permis Vacances Travail,,1 an,364,3 mois,Gratuit,35,http://www.efran.mrecic.gov.ar/node/7476,,http://pvtistes.net/le-pvt/argentine/
Chili,Permis Vacances Travail,,1 an,364,3 mois,115€,30,http://www.cgparis.cl/,,http://pvtistes.net/le-pvt/chili/
Colombie,Permis Vacances Travail,,Pas d’info,,Pas d’info,Pas d’info,30,http://www.cancilleria.gov.co/tramites_servicios/visas/categorias/temporal/tp16,,http://pvtistes.net/le-pvt/colombie/
Mexique,Permis Vacances Travail,,1 an,364,6 mois,35€,30,https://consulmex.sre.gob.mx/francia/index.php/fr/programme-vacances-travail,,https://pvtistes.net/le-pvt/mexique/
Uruguay,Permis Vacances Travail,,1 an,364,6 mois,60€,30,,,https://pvtistes.net/le-pvt/uruguay/
Canada,Permis Vacances Travail,,2 ans,728,1 an,160€,35,http://www.cic.gc.ca/francais/travailler/eic/index.asp,,http://pvtistes.net/le-pvt/canada/
Australie,Permis Vacances Travail,,1 an,364,1 an,280€,35,http://www.immi.gov.au/,,http://pvtistes.net/le-pvt/australie/
Nouvelle-Zélande,Permis Vacances Travail,,1 an,364,1 an,135€,30,http://www.immigration.govt.nz/,,http://pvtistes.net/le-pvt/nouvelle-zelande/
Japon,Permis Vacances Travail,,1 an,364,1 an,Gratuit,30,http://www.fr.emb-japan.go.jp/,,http://pvtistes.net/le-pvt/japon/
Hong Kong,Permis Vacances Travail,,1 an,364,3 mois,20€,30,http://www.immd.gov.hk/eng/services/visas/working_holiday_scheme.html,,http://pvtistes.net/le-pvt/hong-kong/
Corée du Sud,Permis Vacances Travail,,1 an,364,1 mois,Gratuit,30,http://whic.mofa.go.kr/fra/,,http://pvtistes.net/le-pvt/coree-du-sud/
Taïwan,Permis Vacances Travail,,"6 mois (prolon-
geable de 6 mois)",180,1 an,86€,30,https://visawebapp.boca.gov.tw/,,https://pvtistes.net/le-pvt/taiwan/
Russie,Permis Vacances Travail,,"4 à 8 mois
(à partir de la date prédé-
finie)",120,Jusqu’à la date convenue,Gratuit,30,http://ambassade-de-russie.fr/index.php/fr/informations-consulaires/visas,,https://pvtistes.net/le-pvt/russie/
