name,disease_description,risks,treatment_type,treatment,vaccine_schema,treatment_start,treatment_end,injection_max,contraindications,travel_advised,price
COQUELUCHE,"La coqueluche est une maladie très contagieuse due à la bactérie Bordetella pertussis qui cause des infections respiratoires. La contamination se fait par voie aérienne lors de contacts directs avec des personnes infectées. 
Cette maladie, considérée longtemps à tort comme une maladie de la seule petite enfance, peut être sévère pour l’homme à tout âge mais elle est particulièrement dramatique voire mortelle pour les nourrissons de moins de 6 mois.","Parmi les populations non vaccinées dans le monde, la coqueluche reste un problème majeur de santé publique avec environ 300 000 décès par an. Dans les pays ayant une vaccination généralisée depuis plus de trente ans, tels l’Australie, la Belgique, le Canada, les Etats-Unis, la Finlande, la France et les Pays-Bas, l’incidence a beaucoup diminué, mais on observe actuellement un changement de transmission de la maladie dû principalement à l’absence de rappel vaccinal après dix-huit mois. En effet, la transmission ne se fait plus seulement d’enfant à enfant, comme dans l’ère pré-vaccinale, mais aussi d’adolescents-adultes à nouveau-nés. Les rappels vaccinaux n’étaient pas recommandés en raison d’une éventuelle augmentation des effets secondaires entraînés par des vaccinations répétées avec le vaccin à germes entiers. Pour cette raison, un rappel tardif à 11-13 ans a été recommandé dès la mise sur le marché de vaccins coquelucheux sous unitaires ou acellulaires (c’est-à-dire composés de protéines bactériennes purifiées et non de bactéries entières tuées). Depuis octobre 2004, en France, un rappel est aussi recommandé pour les jeunes parents, les adultes à risque, et les personnels de santé en contact avec des nouveau-nés.",vaccin,"BOOSTRIX ® : Diphtérie (dose réduite), Tétanos, Poliomyélite, Coqueluche (vaccin acellulaire)

REPEVAX ® : Diphtérie (dose réduite), Tétanos, Poliomyélite, Coqueluche (vaccin acellulaire)",https://www.pasteur.fr/fr/centre-medical/vaccination/calendrier-vaccinal,,,,,false,
DIPHTÉRIE,"La diphtérie est causée par une bactérie : Corynebacterium diphtheriae.
Elle se manifeste par une angine à fausses membranes, caractéristique, et peut se compliquer de paralysies respiratoires entraînant la mort par asphyxie.
Elle se transmet par des gouttelettes de salive infectées.","La diphtérie a presque disparu actuellement des pays industrialisés, où elle sévissait autrefois sous forme d’épidémies meurtrières. Mais elle existe toujours dans de nombreux pays en développement.
Une importante épidémie a sévi au début des années 90 en Russie et dans les états de l’ex-URSS ; elle est actuellement en voie de régression grâce à la vaccination de masse réalisée dans la population de ces pays mais le risque épidémique persiste pour les pays occidentaux, compte tenu de l’expansion actuelle des échanges avec l’Europe orientale.
 
La situation épidémiologique en France: des études récentes réalisées en France et dans plusieurs autres pays occidentaux ont montré que la population adulte était insuffisamment immunisée, en particulier dans la tranche d’âge supérieure à 65 ans, où 2 personnes sur 3 sont peu ou pas du tout protégées contre cette maladie.
 ",vaccin,"REVAXIS ® : Diphtérie (dose réduite),Tétanos Poliomyélite
BOOSTRIX ® : Diphtérie (dose réduite), Tétanos, Poliomyélite, Coqueluche (vaccin acellulaire)
REPEVAX ® : Diphtérie (dose réduite), Tétanos, Poliomyélite, Coqueluche (vaccin acellulaire)",https://www.pasteur.fr/fr/centre-medical/vaccination/calendrier-vaccinal,,,,,true,
ENCÉPHALITES À TIQUES,"Cette maladie est une arbovirose transmise par morsures de tiques. Elle est causée par un virus qui provoque des lésions des centres nerveux.
 ","Cette maladie est présente sous sa forme occidentale (encéphalite à tiques d’Europe centrale), dans l’ensemble des pays d’Europe, à l’exception du Bénélux et de la Péninsule ibérique. Sous sa forme orientale, elle s’étend à travers la Sibérie (encéphalite verno estivale russe), touche le nord de l’Asie Centrale et ateint le nord de la Chine et du Japon.
Le risque est lié à des activités de plein air (camping, randonnées pédestres, ...) exposant le voyageur aux morsures de tiques.
La vaccination doit être complétée par le port de vêtements couvrants, imprégnés d’insecticide, et l’application de produits répulsifs sur les parties du corps découvertes.
La contamination peut se faire également par ingestion de lait de chèvre cru.",vaccin,"Encepur ® 0,5 ml (adultes et enfants à partir de 12 ans)","Trois injections à m0, entre m1 et m3, puis entre m9 et m12 avec 1er Rappel : 3 ans après la dernière injection.
 
Schéma accéléré: Trois injections à J0, J7 et J21 (auquel cas le 1er rappel doit être administré 12 à 18 mois après la primo-vaccination).",21,365,21,,true,
ENCÉPHALITE JAPONAISE,"L’encéphalite japonaise est une arbovirose transmise par piqûres de moustiques du genre culex, abondants aux abords des rizières. Elle est causée par un virus qui provoque des lésions des centres nerveux pouvant entraîner la mort (mortalité élevée) ou laisser de lourdes séquelles neuropsychiatriques chez les sujets qui ont survécu.
 
","La maladie sévit dans des pays d’Asie du Sud-Est, en Chine et dans le Sous-Continent indien.
Le risque est faible lors d’un circuit touristique classique ; il est plus élevé lors d’un séjour nocturne en zone rurale (rizières particulièrement), à la saison des pluies.
Le réservoir animal du virus est représenté par diverses espèces qui peuvent être des animaux domestiques, en particulier les porcs, mais aussi des animaux sauvages notamment des oiseaux migrateurs.",vaccin,IXIARO®,"2 injections à 28 jours d’intervalle avec Rappel : 12 à 24 mois après la première injection.
Les personnes à risque continu d'infection par le virus de l'encéphalite japonaise (personnel de laboratoire ou personnes résidant dans une zone endémique) doivent recevoir une injection de rappel 12 mois après primo-immunisation .",56,365,56,,true,
FIÈVRE JAUNE,"La fièvre jaune est une arbovirose transmise par des moustiques du genre Aedes ou Haemagogus. Elle est causée par le virus amaril (de l’espagnol amarillo = jaune).
C’est une maladie grave dont les signes caractéristiques sont des hémorragies et un ictère (coloration jaune de la peau), elle comporte un taux de mortalité important.
",,vaccin,STAMARIL®,"Systématiquement : 1 injection à faire au minimum 10 jours avant le départ ; durée de validité administrative : à vie* à l’exception de certains cas.
Pour les enfants : à partir de l’âge de 9 mois (entre 6 et 9 mois (entre 6 et 9 mois uniquement dans des circonstances particulières.)
 Vaccin disponible uniquement dans les centres de vaccinations internationales. NB : un certificat de vaccination antiamarile est exigé de tous les voyageurs à l’entrée du pays.",10,,10,"La vaccination est déconseillée aux femmes enceintes pendant la durée de la grossesse ou allaitant. Mais si le voyage en zone d’endémie ne peut être différé, elle peut néanmoins être pratiquée compte tenu de la gravité de la maladie. De même, comme tout vaccin vivant atténué, Stamaril® est en principe contre-indiqué en cas de déficit immunitaire primaire ou acquis ; il peut toutefois être administré sous certaines conditions",true,
GRIPPE,"Bien que familière, la grippe n’est pas une maladie bénigne contrairement à ce que l’on croit généralement : en effet, elle peut être responsable de complications graves, particulièrement chez des sujets âgés ou fragiles.","Très contagieuse, l’infection peut se propager rapidement à l’ensemble d’un pays, d’un continent ou même de la planète ; on parle dans ce cas de pandémie.",vaccin,VAXIGRIP ®,Une injection chaque année à l’automne.,,,,,false,
HÉPATITE A,"L’hépatite A est causée par un virus qui se transmet par l’eau et les aliments contaminés par des matières fécales. Elle se manifeste par des troubles digestifs et par un ictère (coloration jaune de la peau), d’ou le nom de "" jaunisse "" sous lequel elle est le plus connue.
 
S'il n'existe pas de forme chronique comme avec l'hépatite B, il existe en revanche des formes aigües fulminantes, qui correspondent à la destruction massive des cellules du foie, le plus souvent mortelles en l'absence de greffe du foie.","Comme toutes les infections à transmission digestive, l’hépatite A est très répandue dans les pays en développement.",vaccin,"VAQTA50 : Hépatite A (Adulte)

HAVRIX 1440 : Hépatite A (Adulte)

HAVRIX 720 : Hépatite A (Enfant)

TWINRIX (Vaccin combiné Hépatite A + Hépatite B) Enfant","Une injection, au moins 15 jours avant le départ.
Un rappel 6 à 12 mois plus tard: cette seconde dose peut être administrée jusqu’à 3 ans ou 5 ans après la première injection, selon la spécialité. La durée de protection est d’au moins 10 ans",15,180,10,,true,
HÉPATITE B,"L’hépatite B est causée par un virus qui se multiplie dans les cellules du foie; l’infection peut se manifester par des troubles digestifs et un ictère (coloration jaune de la peau), ou rester inapparente, mais sa gravité réside surtout dans les complications tardives, qui sont la cirrhose et le cancer du foie.
 
Le virus est transmis d’un individu infecté à un autre par contact avec le sang (transfusion, usage d’aiguilles ou de matériels de soins souillés) ou à l’occasion de relations sexuelles ou de contacts intimes intra familiaux (de la mère à son enfant par exemple).","Très fréquente dans les pays en développement l’hépatite B est beaucoup plus rare dans les pays industrialisés.
En France, où la transmission sexuelle est prédominante, ce sont les adolescents qui sont les plus exposés au risque d’infection.
 
Pour atteindre l’objectif fixé par l’Organisation mondiale de la santé qui est la disparition totale de la maladie, il est nécessaire de vacciner la population la plus large possible.
C’est pourquoi la vaccination est incluse dans le calendrier vaccinal des enfants, dès l’âge de 2 mois.",vaccin,"ENGERIX B20 ® : Hépatite B (adulte),
Engerix B 10 (enfant)
TWINRIX ® (Vaccin combiné Hépatite A + Hépatite B) Adulte
TWINRIX ® (Vaccin combiné Hépatite A + Hépatite B) Enfant","Pour certains cas particuliers chez l’adulte, où l’obtention très rapide d’une protection vaccinale est souhaitable (personnes détenues,
personnes en situation de départ imminent en zone d’endémie moyenne ou forte...), et conformément à l'AMM du vaccin ENGERIX® B20 µg,
un schéma accéléré peut être proposé. Il comporte l’administration en primo-vaccination de 3 doses en 21 jours (J0, J7, J21), suivies
d’un rappel 12 mois après, indispensable pour assurer une protection au long cours. ",21,365,21,,true,
LEPTOSPIROSE,"La leptospirose est due à une bactérie du genre Leptospira comprenant un grand nombre d’espèces dont certaines sont pathogènes pour de nombreux mammifères dont l’homme.
La contamination résulte d’un contact direct ou plus souvent indirect (eaux douces, boues) avec des urines d’animaux infectés (rongeurs).","Cette maladie connaît une incidence faible en France mais élevée en Asie du Sud Est (Indonésie), Réunion, Nouvelle Calédonie, Tahiti et sur la Côte Pacifique de l’Amérique du Sud.",vaccin,SPIROLEPT ®,"2 injections à 15 jours d’intervalle avec un Rappel : 6 mois plus tard, puis tous les 2 ans.",30,180,30,,true,
MÉNINGITE À MÉNINGOCOQUES,"La méningite est causée par une bactérie, Neisseria meningitidis ou méningocoque, qui atteint les enveloppes du système nerveux central ; elle se manifeste par de la fièvre, de violents maux de tête, une raideur de la nuque. C’est une maladie grave qui peut entraîner la mort en quelques heures. Le germe est transmis d’un individu à un autre par l’intermédiaire des gouttelettes de salive.","Il existe 3 groupes principaux de méningocoques : A, B, et C. Le sérogroupe A du méningocoque et à un degré moindre le sérogroupe C, sont responsables d’épidémies meurtrières qui sévissent régulièrement en Afrique sahélienne à la saison sèche. Mais d’autres régions du globe peuvent aussi être périodiquement touchées. Ces dernières années, on a vu émerger également le sérogroupe W135.",vaccin,"NIMENRIX®: Méningococcique vaccin méningococcique conjugué tétravalent A, C , Y, W135(à partir de l'âge de 6 semaines)","1 injection 10 jours avant le départ
Validité du vaccin conjugué : 5 ans",10,,10,,true,
