Country Id,Country Name
14,Australie
15,Autriche
18,Bahreïn
29,Bosnie-Herzégovine
48,Chili
61,Chypre
62,République tchèque
63,Danemark
67,Équateur
72,Estonie
77,Finlande
85,Allemagne
88,Grèce
91,Guadeloupe
95,Guinée
96,Guinée-Bissau
98,Haïti
103,Hongrie
124,Lettonie
125,Liban
128,Libye
133,Macédoine
141,Martinique
142,Mauritanie
163,Nigéria
168,Norvège
169,Oman
175,Paraguay
179,Pologne
189,Sainte-Hélène
190,Saint-Christophe-et-Niévès
197,Sao Tomé-et-Principe
205,Slovaquie
206,Slovénie
209,Afrique du Sud
219,Suède
220,Suisse
244,Venezuela
